label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62
Left,0.2441987842321396,0.2894759476184845,0.3278629779815674,0.3560669422149658,0.38008925318717957,0.28235116600990295,0.2759232521057129,0.26952940225601196,0.2598186135292053,0.25110122561454773,0.2402278631925583,0.2561492621898651,0.2650397717952728,0.22291617095470428,0.21206577122211456,0.23424336314201355,0.2444278746843338,0.19574664533138275,0.18815138936042786,0.20833270251750946,0.21716929972171783,0.651544451713562,0.6286153793334961,0.5716490149497986,0.5220277309417725,0.48925846815109253,0.4871828854084015,0.4139914810657501,0.37178245186805725,0.33253562450408936,0.5006733536720276,0.4777616858482361,0.5404245853424072,0.5500380396842957,0.5179929733276367,0.5023108720779419,0.5592563152313232,0.567933201789856,0.5398291945457458,0.5222838521003723,0.5625428557395935,0.5782501101493835,5.119202395320599e-09,-0.032087959349155426,-0.045745838433504105,-0.05591718852519989,-0.06363828480243683,-0.028869276866316795,-0.04976566508412361,-0.05761508271098137,-0.062447428703308105,-0.02403063140809536,-0.05066996440291405,-0.04702732712030411,-0.03858739882707596,-0.024005940183997154,-0.054950643330812454,-0.0408807098865509,-0.02451326698064804,-0.027076207101345062,-0.04867495596408844,-0.039231009781360626,-0.02737787552177906
Left,0.24304941296577454,0.2904537320137024,0.32884901762008667,0.3566131889820099,0.3806675672531128,0.28283679485321045,0.2774638831615448,0.27105697989463806,0.2616746723651886,0.2522500455379486,0.24205061793327332,0.25679144263267517,0.2649788558483124,0.22388890385627747,0.21418282389640808,0.23498587310314178,0.24429871141910553,0.19670183956623077,0.1900847852230072,0.20982259511947632,0.21783344447612762,0.6516064405441284,0.6297118067741394,0.5710689425468445,0.5205119848251343,0.4888189435005188,0.48657527565956116,0.41308385133743286,0.3725457191467285,0.33285367488861084,0.4992956519126892,0.4779258072376251,0.5402732491493225,0.5470136404037476,0.5157753229141235,0.5012086629867554,0.5584725737571716,0.5635184645652771,0.5370815396308899,0.5212423801422119,0.5611533522605896,0.5756797790527344,-1.0924066096151819e-08,-0.032589949667453766,-0.04422415792942047,-0.05185536667704582,-0.056575849652290344,-0.027302034199237823,-0.0472601018846035,-0.054276932030916214,-0.058497101068496704,-0.021676253527402878,-0.04633205011487007,-0.0422162264585495,-0.033877551555633545,-0.021142344921827316,-0.0508197657763958,-0.03749139979481697,-0.02197229489684105,-0.023776980116963387,-0.04396019130945206,-0.034682370722293854,-0.023304101079702377
Left,0.2487768977880478,0.296531081199646,0.3359791040420532,0.36348411440849304,0.3867192268371582,0.29021504521369934,0.2838389277458191,0.2769465446472168,0.2677213251590729,0.259211927652359,0.24718156456947327,0.26168200373649597,0.27121099829673767,0.2305939793586731,0.21859346330165863,0.23915043473243713,0.25015243887901306,0.20172300934791565,0.19511723518371582,0.21321895718574524,0.2227020561695099,0.6469252109527588,0.6346354484558105,0.5755268335342407,0.522987961769104,0.49315837025642395,0.49214622378349304,0.41768503189086914,0.37600624561309814,0.336234450340271,0.5020816326141357,0.4820893406867981,0.5460909008979797,0.5550992488861084,0.5163013339042664,0.5032210350036621,0.5613684058189392,0.5722178816795349,0.5338853001594543,0.5209468603134155,0.5641629099845886,0.580841600894928,-4.684854815195649e-08,-0.028898240998387337,-0.04109800234436989,-0.05069733411073685,-0.05824744328856468,-0.028703637421131134,-0.05007817968726158,-0.057732515037059784,-0.06280475109815598,-0.02477334439754486,-0.05378817766904831,-0.049855779856443405,-0.041191305965185165,-0.025191843509674072,-0.05768956243991852,-0.042255450040102005,-0.025160759687423706,-0.028394101187586784,-0.05172383412718773,-0.04303688555955887,-0.0317813865840435
Left,0.24956625699996948,0.29665765166282654,0.33422330021858215,0.36192458868026733,0.3859770596027374,0.28978970646858215,0.28469118475914,0.27911296486854553,0.27026045322418213,0.25828516483306885,0.24853934347629547,0.26308873295783997,0.2708556652069092,0.22943060100078583,0.21972276270389557,0.23995186388492584,0.24889631569385529,0.20148414373397827,0.19429215788841248,0.21358776092529297,0.2220076322555542,0.6490075588226318,0.6325028538703918,0.5772973299026489,0.5263864994049072,0.4945642948150635,0.49088943004608154,0.4184321463108063,0.3752742409706116,0.33523350954055786,0.5028032064437866,0.481162428855896,0.5445089936256409,0.5554277896881104,0.5187454223632812,0.5028222799301147,0.5602976679801941,0.5704005360603333,0.5381461977958679,0.5208635926246643,0.5617227554321289,0.5782686471939087,-9.38038713371725e-09,-0.03203003853559494,-0.045006174594163895,-0.05433991551399231,-0.06116970255970955,-0.029295602813363075,-0.050831638276576996,-0.0592668280005455,-0.06428208947181702,-0.02344382554292679,-0.05020314082503319,-0.046170543879270554,-0.03749779611825943,-0.022388223558664322,-0.05377410352230072,-0.03960723429918289,-0.02310185693204403,-0.024258291348814964,-0.04551976919174194,-0.03603813797235489,-0.024355214089155197
Left,0.24932168424129486,0.29491037130355835,0.3341187536716461,0.3637236952781677,0.3879985213279724,0.2910900413990021,0.28609076142311096,0.28008323907852173,0.2710288465023041,0.2597706913948059,0.24744856357574463,0.2622274160385132,0.27130326628685,0.2312542051076889,0.21886134147644043,0.24026712775230408,0.2513190507888794,0.2033858299255371,0.1954912543296814,0.21479324996471405,0.22468405961990356,0.6483724117279053,0.6336729526519775,0.5732789039611816,0.5211663246154785,0.49115636944770813,0.48902562260627747,0.41628432273864746,0.3742710053920746,0.33448347449302673,0.5009596943855286,0.4802475571632385,0.5449290871620178,0.5542914271354675,0.5160897374153137,0.5023151636123657,0.5607283711433411,0.572281002998352,0.5350317358970642,0.5212469100952148,0.5644105076789856,0.5812685489654541,-3.1511291354036075e-08,-0.02855033054947853,-0.04025895521044731,-0.04900320991873741,-0.055594250559806824,-0.028198517858982086,-0.04978285729885101,-0.05853940546512604,-0.06417984515428543,-0.024043742567300797,-0.05175898224115372,-0.04821927100419998,-0.04004691541194916,-0.02424793690443039,-0.055608153343200684,-0.04090535268187523,-0.02448837086558342,-0.027126939967274666,-0.049377113580703735,-0.04032266139984131,-0.028893079608678818
Left,0.24916601181030273,0.29400718212127686,0.3327831029891968,0.3630663752555847,0.3883803188800812,0.28968164324760437,0.286218523979187,0.28083157539367676,0.2724035382270813,0.25880521535873413,0.2503369152545929,0.2633984386920929,0.2695772051811218,0.2300446331501007,0.22159379720687866,0.24061161279678345,0.2488749474287033,0.20122644305229187,0.19745320081710815,0.21497789025306702,0.22269898653030396,0.6483397483825684,0.6303033828735352,0.5727609395980835,0.5248916149139404,0.4947095513343811,0.49076566100120544,0.41754448413848877,0.3745266795158386,0.33475130796432495,0.5010122656822205,0.4803822934627533,0.5404002070426941,0.5554331541061401,0.5179253816604614,0.5023777484893799,0.5572175979614258,0.5705661773681641,0.5379497408866882,0.5196680426597595,0.5599136352539062,0.5767338871955872,2.52619938856391e-11,-0.02663770318031311,-0.03930839151144028,-0.05017426237463951,-0.060052111744880676,-0.02639232575893402,-0.045929763466119766,-0.05462236702442169,-0.060927413403987885,-0.02366381511092186,-0.05290209874510765,-0.05356915295124054,-0.04812382534146309,-0.02433203160762787,-0.05604635179042816,-0.04413142800331116,-0.02923394739627838,-0.027307312935590744,-0.049510348588228226,-0.04098198935389519,-0.029781034216284752
Left,0.2496226280927658,0.2940807044506073,0.3322967290878296,0.3631550371646881,0.38707923889160156,0.2909526526927948,0.2860487997531891,0.28072234988212585,0.27179843187332153,0.2597086429595947,0.24949227273464203,0.26397278904914856,0.27263906598091125,0.23061400651931763,0.22055508196353912,0.2419278770685196,0.2525358200073242,0.202850803732872,0.1960999071598053,0.21617978811264038,0.22543124854564667,0.653923749923706,0.6316623091697693,0.5767611265182495,0.5282117128372192,0.4957493841648102,0.49258190393447876,0.4199836254119873,0.37767982482910156,0.3373532295227051,0.5062642693519592,0.48396989703178406,0.5483184456825256,0.5573920607566833,0.5220308899879456,0.5047900080680847,0.5627061128616333,0.5718032717704773,0.5413501858711243,0.5250295400619507,0.5659621953964233,0.5825649499893188,-1.3631371587052854e-08,-0.031529173254966736,-0.044575031846761703,-0.053737711161375046,-0.06011907383799553,-0.031168276444077492,-0.05402953550219536,-0.06387072056531906,-0.06971466541290283,-0.025631047785282135,-0.05125260725617409,-0.046531666070222855,-0.03797740116715431,-0.02498733624815941,-0.054929982870817184,-0.040404003113508224,-0.024315329268574715,-0.0273514986038208,-0.047540903091430664,-0.03760198503732681,-0.025920625776052475
Left,0.2485744059085846,0.2955194413661957,0.33464545011520386,0.36486881971359253,0.38959893584251404,0.29137417674064636,0.2857326865196228,0.2802658677101135,0.27183273434638977,0.25998446345329285,0.24903510510921478,0.26365748047828674,0.27214595675468445,0.23108255863189697,0.21985766291618347,0.24120935797691345,0.2517583668231964,0.203244149684906,0.19507691264152527,0.21502229571342468,0.22432486712932587,0.6522506475448608,0.6343772411346436,0.5780045986175537,0.5292611122131348,0.4990224242210388,0.4925916790962219,0.4203105568885803,0.37878990173339844,0.33832693099975586,0.5049160122871399,0.48438772559165955,0.5491427779197693,0.5577927827835083,0.5202847719192505,0.5080533027648926,0.5667956471443176,0.5745784640312195,0.5393590927124023,0.526454508304596,0.56858891248703,0.5840648412704468,-3.115537694498016e-08,-0.030913440510630608,-0.04292549937963486,-0.051297228783369064,-0.056951265782117844,-0.029050908982753754,-0.05192527920007706,-0.06115839630365372,-0.06652629375457764,-0.02394634485244751,-0.051273245364427567,-0.047117989510297775,-0.03824679180979729,-0.023783382028341293,-0.05612323060631752,-0.042515162378549576,-0.026171980425715446,-0.026392383500933647,-0.048275191336870193,-0.03909742087125778,-0.027492625638842583
Left,0.24768954515457153,0.2956496775150299,0.33632126450538635,0.36914315819740295,0.39788955450057983,0.2907976508140564,0.2858002185821533,0.280793696641922,0.2722944915294647,0.25943219661712646,0.2512037754058838,0.2641102075576782,0.2702007591724396,0.23028185963630676,0.22200888395309448,0.2416415810585022,0.24985632300376892,0.2018413245677948,0.19741806387901306,0.21614223718643188,0.223382368683815,0.652538537979126,0.6355980634689331,0.581926703453064,0.5390527248382568,0.5162111520767212,0.4953337609767914,0.42213910818099976,0.37899377942085266,0.33897435665130615,0.5062037706375122,0.4835337996482849,0.5468463897705078,0.5594010353088379,0.521858274936676,0.5077992677688599,0.5651533007621765,0.5742214322090149,0.5409602522850037,0.5248857736587524,0.5669774413108826,0.5829683542251587,6.751042835873022e-09,-0.029935197904706,-0.043036121875047684,-0.05304709076881409,-0.06129036098718643,-0.02901061810553074,-0.049870025366544724,-0.05896587669849396,-0.06528311967849731,-0.025063620880246162,-0.05276747792959213,-0.05110067501664162,-0.04422887787222862,-0.025372330099344254,-0.05752073600888252,-0.045596443116664886,-0.030634528025984764,-0.02829584665596485,-0.05081290751695633,-0.042358722537755966,-0.03142716735601425
Left,0.2480309009552002,0.29549872875213623,0.3369026780128479,0.37007665634155273,0.4006275236606598,0.29093942046165466,0.2861092984676361,0.2815973162651062,0.27351197600364685,0.2583780586719513,0.25100576877593994,0.2651439309120178,0.2720271050930023,0.22895380854606628,0.22110220789909363,0.24190859496593475,0.25038182735443115,0.20073851943016052,0.19588518142700195,0.21521055698394775,0.22228306531906128,0.6536107659339905,0.6356247663497925,0.5831304788589478,0.541053295135498,0.5229824781417847,0.49423128366470337,0.4215920865535736,0.3784860670566559,0.3388157784938812,0.5056377053260803,0.4839320778846741,0.5491734147071838,0.5606983304023743,0.5216211676597595,0.5076478719711304,0.5659920573234558,0.5748133063316345,0.5410967469215393,0.5256791710853577,0.5678708553314209,0.5838114023208618,3.261077452521022e-08,-0.030425896868109703,-0.044133275747299194,-0.05469214916229248,-0.06315946578979492,-0.028778687119483948,-0.049607183784246445,-0.05802513286471367,-0.06342645734548569,-0.024241410195827484,-0.05038315802812576,-0.046471308916807175,-0.03796615079045296,-0.02421834133565426,-0.05552421510219574,-0.04242512956261635,-0.026574911549687386,-0.026883451268076897,-0.047820042818784714,-0.038200270384550095,-0.026552096009254456
Left,0.24711641669273376,0.29400110244750977,0.33496978878974915,0.3700442612171173,0.40067631006240845,0.29004544019699097,0.2858905792236328,0.28113341331481934,0.2733302712440491,0.25842034816741943,0.251034140586853,0.26404425501823425,0.27114465832710266,0.22872906923294067,0.22119560837745667,0.24079716205596924,0.24969293177127838,0.20077931880950928,0.1954079568386078,0.21466507017612457,0.22182975709438324,0.6559605598449707,0.633812427520752,0.5849767327308655,0.5470117330551147,0.530080258846283,0.49496209621429443,0.42163005471229553,0.3782300353050232,0.3377784490585327,0.506771981716156,0.48431944847106934,0.5480319261550903,0.5584860444068909,0.5222029685974121,0.5064464807510376,0.5639280080795288,0.5709055066108704,0.5414740443229675,0.5245321989059448,0.564970850944519,0.5809749364852905,5.143974846077981e-08,-0.03279285877943039,-0.04721955955028534,-0.05796758830547333,-0.06617842614650726,-0.0299814622849226,-0.05219346657395363,-0.061537910252809525,-0.06699228286743164,-0.024505795910954475,-0.049843087792396545,-0.045736365020275116,-0.037181753665208817,-0.024075131863355637,-0.05467167869210243,-0.04197131469845772,-0.026318829506635666,-0.02670067735016346,-0.046335369348526,-0.03617848455905914,-0.02414187602698803
Left,0.24517588317394257,0.2931146025657654,0.3351878821849823,0.3700011968612671,0.40082037448883057,0.2898761034011841,0.2859943211078644,0.2814076840877533,0.2740320861339569,0.25851505994796753,0.25173044204711914,0.2644077241420746,0.2712239623069763,0.22916419804096222,0.22167515754699707,0.24121662974357605,0.2502802014350891,0.20163299143314362,0.19604487717151642,0.21559077501296997,0.22323080897331238,0.6557739973068237,0.6340781450271606,0.5853734016418457,0.5471389293670654,0.5320471525192261,0.49495503306388855,0.42157697677612305,0.37861746549606323,0.3380240201950073,0.5062878131866455,0.48560404777526855,0.5485439896583557,0.5580415725708008,0.5211198925971985,0.5070107579231262,0.5645239353179932,0.5707132816314697,0.5401222705841064,0.524234414100647,0.5647921562194824,0.5806751251220703,3.2179599429582595e-08,-0.031832534819841385,-0.04510127007961273,-0.05471565201878548,-0.06163663789629936,-0.02858198620378971,-0.05075836181640625,-0.06031326949596405,-0.0658513605594635,-0.02329348213970661,-0.04815008491277695,-0.04426410049200058,-0.036033887416124344,-0.02302931435406208,-0.05371818691492081,-0.04200875759124756,-0.027002014219760895,-0.02565745636820793,-0.045121271163225174,-0.03525535762310028,-0.023485345765948296
Left,0.24601663649082184,0.2937659025192261,0.33540812134742737,0.36937469244003296,0.3996146023273468,0.2896178066730499,0.28615108132362366,0.28170740604400635,0.27431002259254456,0.2583691477775574,0.2523852586746216,0.26444998383522034,0.2705977261066437,0.22929225862026215,0.22228100895881653,0.24163924157619476,0.2500806152820587,0.20159339904785156,0.19682900607585907,0.21622517704963684,0.22340285778045654,0.6547841429710388,0.634793221950531,0.584707498550415,0.5467585325241089,0.53241366147995,0.49503394961357117,0.4209824800491333,0.37807828187942505,0.33803558349609375,0.5060253739356995,0.4855174422264099,0.5482736825942993,0.5591625571250916,0.5208591222763062,0.5069596171379089,0.5642643570899963,0.571439802646637,0.5398653745651245,0.5230361819267273,0.5637480020523071,0.5800606608390808,2.4709603252404122e-08,-0.030682193115353584,-0.0431751050055027,-0.052277904003858566,-0.05898750573396683,-0.02745724469423294,-0.04795200750231743,-0.05650389567017555,-0.06189249828457832,-0.02283773571252823,-0.04797755554318428,-0.04503117874264717,-0.03752407059073448,-0.02291080914437771,-0.053567659109830856,-0.04245330020785332,-0.028024502098560333,-0.02577415481209755,-0.04617359861731529,-0.037299994379282,-0.02623254805803299
